행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,,행정구역,생활밀접업종,2020년 1분기,,,2021년 1분기,,,2022년 1분기,,,행정구역,생활밀접업종,2020년 2분기,,,2021년 2분기,,,2022년 2분기,,,행정구역,생활밀접업종,2020년 3분기,,,2021년 3분기,,,2022년 3분기,,,행정구역,생활밀접업종,2020년 4분기,,,2021년 4분기,,,2022년 4분기,,
,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년,,,1년,3년,5년,1년,3년,5년,1년,3년,5년
,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,,,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율,생존율
,서울시 전체,외식업/,76.1,46.2,30.1,78.1,49.6,32.9,78.7,54.4,,서울시 전체,외식업/,77.3,47.3,30.6,78,50.9,33.7,80.2,55.2,,서울시 전체,외식업/,76.6,46.9,31.1,78.7,52.4,34.8,76.6,54,,서울시 전체,외식업/,77.2,48.4,31.7,78.9,53.2,35.2,75.7,53.5,,서울시 전체,외식업/,74,43.2,30,77.8,48.6,31,79.4,48.6,,서울시 전체,외식업/,77.1,45.9,31.3,77.2,47.7,29.3,77.7,50.4,,서울시 전체,외식업/,76.8,46.4,30.8,78.3,48.5,29.7,75.2,49.7,,서울시 전체,외식업/,78.1,48.4,31,80.7,47.4,29.1,73.3,49.6,,서울시 전체,외식업/,74.6,46.4,28.9,78.3,49.9,29.7,84.3,52.1,,서울시 전체,외식업/,76,48.4,27.1,81.4,49.6,31.3,83.5,54.6,,서울시 전체,외식업/,76.2,48.2,26.5,83.3,50.1,32.3,80.9,55.4,,서울시 전체,외식업/,78.8,49.9,27.3,84.5,51.8,33.8,78.3,55.9,,서울시 전체,외식업/,79.1,46.6,30.3,79.5,49.3,33.9,83.8,56.8,,서울시 전체,외식업/,79.3,46.5,31.4,80.5,52.2,34.2,84.5,57.2,,서울시 전체,외식업/,78.9,47.8,31.4,83,54.4,34.8,81.8,55.2,,서울시 전체,외식업/,81.3,47.9,32.7,83.6,55.6,35.1,79.7,56.7,,서울시 전체,외식업/,78,43.6,33.9,78.3,51.9,35.1,85.2,50,,서울시 전체,외식업/,78.6,45.6,33,80.6,51.8,36.1,84,50,,서울시 전체,외식업/,78.2,46.6,34,82.3,51.1,35.4,81.6,50.4,,서울시 전체,외식업/,79.4,48.2,33.9,83.3,51.5,32.5,82.8,51.7,,서울시 전체,외식업/,79.5,52,39.1,80.5,51.8,40.9,81.6,54.6,,서울시 전체,외식업/,80.5,51.3,40.5,82,54.1,38.6,82.6,54.3,,서울시 전체,외식업/,82.8,50.6,40.6,79.1,53,38.5,79.8,54.8,,서울시 전체,외식업/,82.5,49.9,40.6,81.2,53,38.7,78.5,54.1,,서울시 전체,외식업/,68.4,39.5,25.8,72.8,40,23.3,72.4,39.4,,서울시 전체,외식업/,72.7,38.8,25.5,70.6,39.7,23.7,73.3,42.5,,서울시 전체,외식업/,72.6,41,24.3,71.4,39.8,23.1,70.4,41.2,,서울시 전체,외식업/,73.3,40.7,23,71.6,39.5,24.2,68.6,41.4,,서울시 전체,외식업/,65.7,34.9,21,71,41.1,21.6,65.9,42.1,,서울시 전체,외식업/,67,36.8,21.7,69.6,42,22.1,67.9,43.8,,서울시 전체,외식업/,67.9,38.3,21.3,68.7,41.6,23.1,67.7,44.7,,서울시 전체,외식업/,70.3,40.5,20.8,66,41.3,24.6,68.8,44.6,,서울시 전체,외식업/,67.9,36.9,21.3,70.8,35.4,22.1,77.7,36.5,,서울시 전체,외식업/,71.1,36.3,23.2,71.6,35.2,21.8,79.4,38.6,,서울시 전체,외식업/,71.5,34.4,22.8,74.1,36.3,21.4,77.1,40.6,,서울시 전체,외식업/,71.1,33.8,23.3,77.4,36.3,21.2,76,41.2,,서울시 전체,외식업/,75.3,44,29.9,78.9,47.8,31.7,79.9,49.3,,서울시 전체,외식업/,77.1,46.4,30.8,79.6,48.1,31.6,80.8,51.2,,서울시 전체,외식업/,78.3,46.5,31.7,80.4,48.5,32.1,79.7,51.9,,서울시 전체,외식업/,79.5,46.7,31.4,80.3,49,32.5,78.9,52.1
,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,
종로구,외식업/,82.4,56.8,36.7,87.2,51.8,40.9,85.7,61.1,45.3,종로구,외식업/,83.6,54.9,34.3,86.5,54.4,44.3,88.4,63.2,42.9,종로구,외식업/,83.7,52.5,35.4,86.5,55.4,45,85.3,62.2,40.9,종로구,외식업/,87.3,50.3,38.2,85.5,59.3,43.9,82.2,66,41.4,종로구,외식업/,64.1,42.1,44.1,82.6,46.5,32.3,95.2,41,34.2,종로구,외식업/,76.2,42.5,33.3,82.1,44.2,31.8,96.6,42.9,35,종로구,외식업/,78.3,48.9,35.1,81.8,41,25,92.6,39.1,42.2,종로구,외식업/,83.7,47.8,28.1,92,41,35.5,76.9,40.8,41.3,종로구,외식업/,80.3,41.1,36.8,76.8,54.7,29,94.4,51.3,33.9,종로구,외식업/,80.6,49.1,34.1,82.2,53.1,26.4,88.9,54.2,43.4,종로구,외식업/,78.1,48.3,30.2,86.5,56.9,26.2,85.3,54.8,41.7,종로구,외식업/,74.2,54.8,29.3,90.7,53.7,24.6,71.4,53.2,48.4,종로구,외식업/,81.6,51.9,31.6,74,60.2,43.7,85.5,58.2,34.9,종로구,외식업/,80.2,50.5,36.8,78.1,59.4,39.7,88.9,55.2,36.6,종로구,외식업/,82.2,53.9,47.6,83.1,61.1,34.6,81.3,58.9,42.2,종로구,외식업/,78.8,52.2,43.7,85.5,66.7,38.4,84.4,57.6,38.9,종로구,외식업/,78.9,53.7,30.4,87.5,62.2,40,87.1,63.2,29.3,종로구,외식업/,80.4,48.8,41.9,84.6,57.9,39.5,89.2,64.3,29.3,종로구,외식업/,83,55.3,43.2,80.5,56.4,41.5,85.7,66,36.2,종로구,외식업/,86,63.4,41.3,81.3,58.1,31.7,81.6,64,36.6,종로구,외식업/,77.6,60.4,54.8,88.9,51.3,29.6,85.4,61.2,50,종로구,외식업/,79.6,65.4,48.6,93.1,55.3,25,83.3,63,55.8,종로구,외식업/,83.3,67.9,38.2,90,56.1,27.6,73.2,60.4,62.3,종로구,외식업/,86,63.8,44,90,58.7,45,72.1,55.8,55.3,종로구,외식업/,76.7,25,28,70,45,40.6,81,50,20,종로구,외식업/,83.3,31.3,36,64.3,41.4,36.4,85,54.2,25,종로구,외식업/,87.1,36.8,34.8,72,30.8,32.4,75,61.3,26.3,종로구,외식업/,80,47.1,39.1,81.8,36.7,30,68.4,46.7,29.4,종로구,외식업/,67.3,35.8,28.3,69,42.6,22.1,74,50,24.4,종로구,외식업/,69.1,37.2,29,69.3,45.9,23.4,77.5,51.5,23,종로구,외식업/,64.8,41.2,22.6,70.5,45.8,27.5,81,50.5,30.7,종로구,외식업/,67,43.2,23.5,69,43.7,23.8,80.7,48.1,36.9,종로구,외식업/,81.3,46.6,30.1,71.8,43.1,31.6,81.1,44,28.8,종로구,외식업/,81.4,43.2,29.7,79.4,46.1,31.3,88,46.4,28,종로구,외식업/,81.4,41.1,27.2,74.6,46.7,28.1,91.4,51.2,29.5,종로구,외식업/,76.5,41.3,30.9,83.9,44.9,29.9,84.8,47.1,32.2,종로구,외식업/,79.9,52.6,33.3,76.4,50.2,42.9,81,58.6,45.3,종로구,외식업/,80.5,47.1,37.2,80,54.2,44.9,79.1,60.2,36.6,종로구,외식업/,83.2,46.5,42.3,82.8,56.7,46.6,80,57.1,35.5,종로구,외식업/,80.1,47.1,41.8,82.8,59,45.2,80.2,54.9,35.6
,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,
중구,외식업/,82.7,51.2,41.2,81.1,57.7,36.2,87.3,60.2,39.1,중구,외식업/,83.5,54.5,36.5,81.4,57.4,38.1,90.2,62,39.9,중구,외식업/,81.5,52.1,38.3,82.3,60.9,40,84.7,62.4,37.8,중구,외식업/,79.9,52.2,36,85.8,62.2,42.8,84.5,61.2,39,중구,외식업/,82.7,65.7,63.6,76.3,38.9,38.5,88.5,63.5,51.4,중구,외식업/,83.3,60,51.7,74.2,38.2,40.5,87.9,63,47.5,중구,외식업/,73.1,48.9,57.1,83.3,50,45.5,71.9,53.8,36.2,중구,외식업/,72.9,50,53.8,88.9,61,46.7,65.6,54.2,33.3,중구,외식업/,71.2,37.5,34.1,73.7,35.2,35.4,100,53.8,31.3,중구,외식업/,76.4,45,26.2,75.9,33.8,40,91.8,54.5,35,중구,외식업/,74.1,44,25.6,84.3,39.3,43.5,83.7,51.7,30,중구,외식업/,82,35.6,38.8,97.7,45.6,34.3,77.3,54.1,25.4,중구,외식업/,80,53.4,26.8,92.2,51.6,49.1,89.7,64.3,38.4,중구,외식업/,81,47.2,30.2,91.5,56.6,49.2,83.6,63.5,37.5,중구,외식업/,87.7,45.9,35.8,90.2,60.3,42.6,82.8,66.2,39.2,중구,외식업/,97.1,50,43.1,87.9,58.8,36.8,83.3,69.6,42.4,중구,외식업/,75,43.2,31.7,84.6,61.1,41.7,88,52.5,34.1,중구,외식업/,80.6,50,36.6,82.9,56.1,43.2,86.2,55.6,32.5,중구,외식업/,80.6,50,34.3,85.3,50,40.5,82.1,61.1,31,중구,외식업/,82.1,50,37.5,89.7,55.3,40,85.7,64.1,31,중구,외식업/,75.5,63,52.6,82.1,46.9,57.7,84.8,53.1,40.7,중구,외식업/,67.5,57.6,47.4,88.6,54.3,62.5,87.5,47.5,42.4,중구,외식업/,73.3,44.4,60.9,82.4,55,56,87.9,40,33.3,중구,외식업/,82.4,43.2,57.1,82.1,54.8,48.1,87.2,50,35.1,중구,외식업/,73.3,41.9,27.6,75,39.1,47.8,73.3,50,29,중구,외식업/,84.4,40,26.1,74.1,47.4,36.7,83.3,43.8,26.7,중구,외식업/,80.6,50,34.8,66.7,50,28.6,76.5,41.7,32.1,중구,외식업/,86.5,44,40.9,71.4,54.5,30.3,76.5,43.2,24,중구,외식업/,61.2,48.3,19.7,72.2,49.6,31.4,68.8,40.8,35.3,중구,외식업/,68.4,45.7,25.4,76.7,47.1,32.5,68.7,45.3,31.5,중구,외식업/,71.9,47.9,28.1,78.2,44.3,34.4,75.9,47.9,33.1,중구,외식업/,72.2,48.4,32.2,75,41.1,34.5,68.4,48.5,32.8,중구,외식업/,83.1,47.5,31.6,72.5,51.6,27.1,84.2,52.3,28.8,중구,외식업/,86.3,46.7,37.7,70.5,52.6,28.6,87.2,52.1,28.3,중구,외식업/,81.7,42.6,36,82.1,52.9,30.2,80,52.1,29.4,중구,외식업/,73.4,47.6,32,88.6,50,26.8,84.2,53.1,31.7,중구,외식업/,74.1,46.2,32.2,74,55.3,36.3,86.3,50,34.1,중구,외식업/,74.5,55.4,32.2,78.5,48.8,36.5,84.7,49.5,42.9,중구,외식업/,73.7,53.1,32.6,83.3,49,37.9,84.9,52.6,41.1,중구,외식업/,75.3,51.9,35,84.9,50.5,37.5,82.8,50.2,38.3
,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,
용산구,외식업/,79.7,51.4,39.2,85,54.4,41.1,83.2,58.8,38.5,용산구,외식업/,80.6,50,36.7,85.8,55.4,43,84.7,59.9,39.1,용산구,외식업/,77.1,50.8,38.7,85.8,59.1,40.7,86.8,58.1,39.3,용산구,외식업/,81,55.6,36.8,85,56,40.5,85.7,59.3,42.9,용산구,외식업/,85.7,61.9,40.9,77.8,57.7,36.4,86.4,71.4,47.6,용산구,외식업/,89.7,56.5,43.5,72.2,65.2,31.8,87.5,58.6,39.1,용산구,외식업/,92.9,52,37.5,83.3,65.2,40.9,84.6,53.6,32,용산구,외식업/,81.5,54.2,41.7,95.2,65.2,37.5,89.3,48.1,37.5,용산구,외식업/,81.8,40.9,41.2,86,51.7,26.1,81.4,54.5,20.5,용산구,외식업/,84.1,39.1,38.1,85.2,49.2,27.5,85,63.5,21.7,용산구,외식업/,88.1,33.9,38.6,79.6,48.5,27.9,87.1,69.5,25,용산구,외식업/,84.2,39.6,27.9,79.6,59.2,28.8,77.4,61.4,27.1,용산구,외식업/,82.9,56.6,36.2,85.6,49,31.8,86.9,62,41.2,용산구,외식업/,84.5,56.6,34.1,87,47.6,32.9,90.8,63.8,42.8,용산구,외식업/,87.1,57.2,29.5,85.6,48.9,37.3,88.1,64.7,43.4,용산구,외식업/,86.3,51.3,31.1,87.7,54.3,42,89.7,65.8,41.1,용산구,외식업/,72.7,48.9,29.7,88.9,54.8,30.9,93.3,50,26.7,용산구,외식업/,74.4,40.5,22.5,91.4,55,31,92.1,53.8,27,용산구,외식업/,77.1,55.3,22.2,94.6,42.9,30.6,89.5,57.1,42.1,용산구,외식업/,81.6,56.8,27.7,90.9,44.4,28.6,90.5,55.3,40.5,용산구,외식업/,74.3,55.6,42.3,100,54.2,34.4,80,62.9,33.3,용산구,외식업/,85.3,55,41.7,93.5,52.3,29.7,86.8,64.7,42.5,용산구,외식업/,84,52.8,45.2,81,56.3,27.8,87.2,60,44.4,용산구,외식업/,96.4,51.4,35.3,86.7,54.3,31.4,76.7,64.3,43.2,용산구,외식업/,81,39.3,36.8,65.4,58.3,19.4,80,47.6,21.4,용산구,외식업/,78.3,40,23.8,60,61.5,22.2,96.2,43.5,20,용산구,외식업/,76,31.3,17.9,65.6,70.6,25,84.2,44,18.8,용산구,외식업/,64,50,18.8,75,54.5,20.7,80,40,35.7,용산구,외식업/,61.6,32,18.4,70.1,48.1,18.2,75.9,33.7,25.4,용산구,외식업/,65.2,41.5,19.4,70.1,37,17.2,76.6,39.1,33,용산구,외식업/,64.9,43.2,17.9,72,39.4,22.7,77.1,36.5,33,용산구,외식업/,67.4,46.3,17.9,77.6,38.5,23.6,77.8,36,36.3,용산구,외식업/,66.7,37.3,39.2,76.6,43.8,26.3,86.8,35.8,22.9,용산구,외식업/,70.4,42.6,39.3,81.7,39.4,16.3,84.2,40.7,26.6,용산구,외식업/,72,39.4,32.3,84.6,40.9,14.9,84.4,46.3,25,용산구,외식업/,77.1,38.5,27.4,87.8,38.5,21.1,88.2,50.6,21.9,용산구,외식업/,81.1,51.5,29.3,82.6,50.5,31.9,81.1,52.8,36.2,용산구,외식업/,80.9,50.3,31.3,83.1,54.1,30.6,84.8,56.8,35,용산구,외식업/,80.1,53.7,39.3,81.8,55.6,26.3,82.9,58.4,35.1,용산구,외식업/,78.9,55.1,34.1,82.9,53.1,32.9,79.6,56.5,40.4
,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,한식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,중식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,일식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,양식음식점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,제과점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,패스트푸드점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,치킨전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,분식전문점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,호프-간이주점,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,,,커피-음료,,,,,,,,,
