행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,,행정구역,생활밀접업종,2021년 1분기,,,,2022년 1분기,,,,2023년 1분기,,,
,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,,,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률,개업수,폐업수,개업률,폐업률
,서울시 전체,외식업/,"2,044","1,444",3.3,2.3,"1,273","1,470",2,2.3,"1,838","2,250",3,,서울시 전체,외식업/,206,158,3.8,2.9,198,166,3.5,2.9,256,215,4.4,,서울시 전체,외식업/,280,180,4.3,2.8,214,159,3.1,2.3,325,247,4.5,,서울시 전체,외식업/,414,220,5.1,2.7,236,196,2.6,2.2,350,347,3.8,,서울시 전체,외식업/,266,175,4.7,3.1,163,143,2.8,2.4,180,211,3,,서울시 전체,외식업/,334,158,5.7,2.7,181,164,2.9,2.6,199,267,3.3,,서울시 전체,외식업/,325,225,5.1,3.6,178,252,3,4.2,223,291,3.9,,서울시 전체,외식업/,611,424,4.3,3,602,419,4.2,3,708,580,4.7,,서울시 전체,외식업/,183,441,1.8,4.3,135,265,1.5,2.9,225,318,2.6,,서울시 전체,외식업/,902,683,4.5,3.4,"1,023",677,4.8,3.2,"1,216","1,028",5.2
,,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,
종로구,외식업/,57,61,2,2.1,42,55,1.4,1.9,61,84,2.1,2.9,종로구,외식업/,2,3,0.9,1.4,6,9,2.9,4.3,7,5,3.3,2.4,종로구,외식업/,5,10,1.8,3.6,7,5,2.3,1.7,12,10,3.8,3.2,종로구,외식업/,19,7,3.6,1.3,9,18,1.7,3.4,20,13,3.6,2.3,종로구,외식업/,10,7,4.1,2.9,11,2,4.4,0.8,3,4,1.2,1.6,종로구,외식업/,13,10,4.9,3.8,4,4,1.5,1.5,4,12,1.6,4.9,종로구,외식업/,5,8,3.6,5.8,3,3,2.3,2.3,4,7,3.1,5.5,종로구,외식업/,17,18,2.3,2.5,21,19,3,2.7,25,25,3.3,3.3,종로구,외식업/,4,22,0.9,4.8,6,11,1.4,2.6,6,10,1.5,2.6,종로구,외식업/,43,28,3.8,2.5,44,31,3.7,2.6,52,41,4.1,3.2
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
중구,외식업/,63,50,2.2,1.8,37,58,1.3,2.1,78,84,2.8,3.1,중구,외식업/,6,8,2.3,3.1,4,3,1.5,1.1,6,6,2.3,2.3,중구,외식업/,13,8,4.6,2.8,4,6,1.4,2.1,9,13,3.1,4.5,중구,외식업/,9,8,2.1,1.9,4,5,0.9,1.2,10,6,2.3,1.4,중구,외식업/,7,6,2.9,2.5,3,9,1.2,3.7,1,4,0.4,1.6,중구,외식업/,9,2,4.2,0.9,4,4,1.7,1.7,4,8,1.8,3.7,중구,외식업/,4,7,2.5,4.4,2,7,1.4,4.8,2,2,1.4,1.4,중구,외식업/,28,24,3.6,3.1,13,15,1.7,2,25,16,3.2,2,중구,외식업/,8,12,2.4,3.6,5,14,1.6,4.6,4,14,1.4,5,중구,외식업/,37,36,3.6,3.5,42,26,3.9,2.4,50,29,4.4,2.6
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
용산구,외식업/,48,46,2.7,2.6,50,28,2.7,1.5,58,54,3.2,2.9,용산구,외식업/,6,3,3.5,1.8,3,6,1.7,3.5,5,6,3,3.7,용산구,외식업/,7,13,2.7,5,5,5,1.9,1.9,13,6,4.8,2.2,용산구,외식업/,32,25,4.7,3.7,21,10,2.6,1.3,18,19,2.1,2.2,용산구,외식업/,8,5,3.7,2.3,7,4,2.9,1.7,7,9,2.8,3.6,용산구,외식업/,6,3,2.7,1.4,5,4,2.2,1.8,3,2,1.4,0.9,용산구,외식업/,7,4,5,2.8,2,3,1.5,2.2,6,6,4.5,4.5,용산구,외식업/,21,12,3.9,2.2,18,12,3.4,2.3,15,18,2.7,3.3,용산구,외식업/,5,15,1.4,4.2,7,8,2.2,2.5,6,10,2,3.4,용산구,외식업/,34,22,4.5,2.9,37,23,4.7,2.9,45,32,5.1,3.6
,한식음식점,,,,,,,,,,,,,,중식음식점,,,,,,,,,,,,,,일식음식점,,,,,,,,,,,,,,양식음식점,,,,,,,,,,,,,,제과점,,,,,,,,,,,,,,패스트푸드점,,,,,,,,,,,,,,치킨전문점,,,,,,,,,,,,,,분식전문점,,,,,,,,,,,,,,호프-간이주점,,,,,,,,,,,,,,커피-음료,,,,,,,,,,,,
성동구,외식업/,62,42,3.2,2.2,39,56,2,2.9,52,70,2.8,3.8,성동구,외식업/,7,3,4.7,2,7,4,4.5,2.6,5,5,3.2,3.2,성동구,외식업/,11,5,6.6,3,7,4,3.9,2.2,11,7,5.4,3.4,성동구,외식업/,24,4,8.5,1.4,14,9,4.1,2.6,20,12,5.3,3.2,성동구,외식업/,11,5,5.9,2.7,5,7,2.5,3.5,10,6,4.8,2.9,성동구,외식업/,7,5,4,2.8,5,2,2.5,1,8,11,4.2,5.8,성동구,외식업/,8,7,4.1,3.6,4,12,2.2,6.5,4,6,2.2,3.3,성동구,외식업/,25,17,6.4,4.4,18,13,4.7,3.4,23,18,5.5,4.3,성동구,외식업/,8,8,3.3,3.3,4,8,1.9,3.8,6,7,3,3.5,성동구,외식업/,29,30,4.2,4.4,37,22,4.8,2.9,44,28,5.1,3.3
