순번,자치구,행정동,상권코드,상권명,상권분류,면적(m²)
1,용산구,이태원1동,1001491,이태원 관광특구,관광특구,"392,647"
2,중구,소공동,1001492,"명동 남대문 북창동 다동
무교동 관광특구",관광특구,"928,278"
3,중구,광희동,1001493,동대문패션타운 관광특구,관광특구,"610,708"
4,종로구,종로1.2.3.4가동,1001494,종로·청계 관광특구,관광특구,"635,586"
5,송파구,오륜동,1001495,잠실 관광특구,관광특구,"2,334,402"
6,강남구,삼성1동,1001496,강남 마이스 관광특구,관광특구,"190,428"
7,종로구,평창동,2110001,이북5도청사,골목상권,"104,584"
8,종로구,무악동,2110002,독립문역 1번,골목상권,"29,573"
9,종로구,부암동,2110003,세검정초등학교,골목상권,"175,886"
10,종로구,무악동,2110004,대신고등학교,골목상권,"17,562"
11,종로구,부암동,2110005,세검정,골목상권,"216,967"
12,종로구,부암동,2110006,부암동주민센터,골목상권,"94,619"
13,종로구,사직동,2110007,"사직공원
(한국사회과학도서관)",골목상권,"86,559"
14,종로구,청운효자동,2110008,"배화여자대학교
(박노수미술관)",골목상권,"173,016"
15,종로구,부암동,2110009,자하문터널,골목상권,"182,858"
16,종로구,평창동,2110010,평창동서측,골목상권,"473,584"
17,종로구,청운효자동,2110011,청운초등학교,골목상권,"35,974"
18,종로구,사직동,2110012,성곡미술관,골목상권,"124,841"
19,종로구,사직동,2110013,체부동홍종문가옥,골목상권,"15,347"
20,종로구,청운효자동,2110014,경복고등학교,골목상권,"67,053"
21,종로구,청운효자동,2110015,청와대사랑채,골목상권,"69,745"
22,종로구,평창동,2110016,평창동동측,골목상권,"577,949"
23,종로구,가회동,2110017,정독도서관,골목상권,"86,178"
24,종로구,가회동,2110018,중앙고등학교,골목상권,"176,701"
25,종로구,종로1.2.3.4가동,2110019,창덕궁,골목상권,"46,594"
26,종로구,혜화동,2110020,서울국제고등학교,골목상권,"136,556"
27,종로구,혜화동,2110021,성균관대학교,골목상권,"85,052"
28,종로구,혜화동,2110022,경신고등학교,골목상권,"63,728"
29,종로구,이화동,2110023,서울대병원,골목상권,"31,100"
30,종로구,혜화동,2110024,혜회동주민센터,골목상권,"52,127"
31,종로구,종로5.6가동,2110025,충신시장옆,골목상권,"38,856"
32,종로구,종로5.6가동,2110026,종로5가역 4번,골목상권,"15,995"
33,종로구,이화동,2110027,혜화역 1번,골목상권,"111,531"
34,종로구,이화동,2110028,이화달팽이길,골목상권,"157,540"
35,종로구,창신2동,2110029,동대문역 1번,골목상권,"145,706"
36,종로구,창신1동,2110030,동대문역 3번,골목상권,"15,754"
37,종로구,창신3동,2110031,창신역 1번,골목상권,"28,041"
38,종로구,창신1동,2110032,수족관거리,골목상권,"11,726"
39,종로구,숭인1동,2110033,창신역 4번,골목상권,"61,925"
40,종로구,창신1동,2110034,창신1동주민센터,골목상권,"26,819"
41,종로구,숭인2동,2110035,동묘앞역 2번,골목상권,"89,201"
42,종로구,숭인2동,2110036,동묘앞역 3번,골목상권,"23,355"
43,종로구,숭인2동,2110037,신설동역 12번,골목상권,"54,607"
44,중구,소공동,2110038,경향신문사,골목상권,"34,458"
45,중구,회현동,2110039,회현역 1번,골목상권,"10,742"
46,중구,회현동,2110040,"중구회현체육센터
(정화예술대남산캠퍼스)",골목상권,"71,687"
47,중구,명동,2110041,남산케이블카,골목상권,"106,775"
48,중구,필동,2110042,남산골공원옆,골목상권,"178,162"
49,중구,장충동,2110043,충무초등학교,골목상권,"105,831"
50,중구,장충동,2110044,관성묘,골목상권,"31,144"
51,중구,장충동,2110045,동대문역사문화공원역 5번,골목상권,"45,163"
52,중구,다산동,2110046,버티고개,골목상권,"66,093"
53,중구,다산동,2110047,다산성곽길,골목상권,"86,059"
54,중구,장충동,2110048,장충동주민센터,골목상권,"135,097"
55,중구,다산동,2110049,장충단 고개,골목상권,"69,979"
56,중구,약수동,2110050,약수역 7번,골목상권,"40,820"
57,중구,신당동,2110051,한양공고앞 교차로,골목상권,"45,040"
58,중구,다산동,2110052,장충초등학교,골목상권,"70,893"
59,중구,신당동,2110053,청구역 1번,골목상권,"83,931"
60,중구,청구동,2110054,청구역 3번,골목상권,"70,451"
61,중구,황학동,2110055,황학동벼룩시장,골목상권,"29,109"
62,중구,신당5동,2110056,신당역 3번,골목상권,"130,116"
63,중구,황학동,2110057,황학코아루아파트,골목상권,"30,603"
64,용산구,원효로2동,2110058,성심여자고등학교,골목상권,"159,264"
65,용산구,이촌2동,2110059,새남터성지,골목상권,"53,917"
66,용산구,용문동,2110060,효창공원앞역 6번,골목상권,"94,053"
67,용산구,효창동,2110061,효창동주민센터,골목상권,"100,560"
68,용산구,한강로동,2110062,"한강로동땡땡거리
(은행나무길)",골목상권,"173,295"
69,용산구,용문동,2110063,효창공원앞역 5번,골목상권,"112,751"
70,용산구,효창동,2110064,효창공원앞역 2번,골목상권,"122,298"
71,용산구,원효로1동,2110065,남정초등학교,골목상권,"18,575"
72,용산구,청파동,2110066,서울역 15번,골목상권,"130,033"
73,용산구,청파동,2110067,배문고등학교,골목상권,"223,993"
74,용산구,원효로1동,2110068,남영역 1번,골목상권,"141,920"
76,용산구,한강로동,2110070,용산세무서,골목상권,"8,274"
77,용산구,이촌1동,2110071,한강미주맨션아파트,골목상권,"23,587"
78,용산구,원효로1동,2110072,열정도,골목상권,"18,291"
79,용산구,한강로동,2110073,삼각지역 3번,골목상권,"33,918"
80,용산구,남영동,2110074,서울역 12번,골목상권,"102,309"
81,용산구,남영동,2110075,숙대입구역 1번,골목상권,"129,560"
82,용산구,한강로동,2110076,삼각지역 14번,골목상권,"9,936"
83,용산구,후암동,2110077,삼광초등학교,골목상권,"46,821"
84,용산구,이촌1동,2110078,이촌동점보아파트,골목상권,"18,990"
85,용산구,후암동,2110079,후암동주민센터,골목상권,"288,474"
86,용산구,후암동,2110080,해방촌예술마을,골목상권,"133,322"
87,용산구,용산2가동,2110081,해방촌 남동측,골목상권,"114,649"
88,용산구,이태원1동,2110082,용산구청,골목상권,"64,659"
89,용산구,서빙고동,2110083,서빙고역 1번,골목상권,"60,258"
90,용산구,이태원2동,2110084,경리단길북측,골목상권,"222,119"
91,용산구,이태원2동,2110085,경리단길남측,골목상권,"181,139"
92,용산구,이태원1동,2110086,이태원역 북측,골목상권,"148,264"
93,용산구,이태원1동,2110087,이태원엔틱가구거리,골목상권,"70,810"
94,용산구,서빙고동,2110088,오산고등학교,골목상권,"114,423"
95,용산구,서빙고동,2110089,서빙고동주민센터,골목상권,"112,580"
96,용산구,보광동,2110090,한국폴리텍대학서울정수캠퍼스,골목상권,"98,353"
97,용산구,한남동,2110091,리움미술관,골목상권,"54,625"
98,용산구,보광동,2110092,NH농협은행 보광동지점,골목상권,"116,645"
99,용산구,한남동,2110093,우사단길,골목상권,"225,925"
100,용산구,보광동,2110094,오산중학교,골목상권,"22,496"
101,용산구,한남동,2110095,한강진역 3번,골목상권,"155,694"
102,용산구,한남동,2110096,한남힐사이드아파트,골목상권,"98,728"
103,용산구,한남동,2110097,한남초등학교,골목상권,"39,912"
104,용산구,한남동,2110098,서울독일학교,골목상권,"36,400"
105,용산구,한남동,2110099,유엔빌리지길,골목상권,"279,387"
106,성동구,옥수동,2110100,옥수동우편취급국,골목상권,"25,270"
107,성동구,옥수동,2110101,옥정중학교,골목상권,"24,335"
108,성동구,옥수동,2110102,옥수역 6번,골목상권,"42,377"
109,성동구,금호4가동,2110103,옥수터널,골목상권,"18,904"
110,성동구,금호2.3가동,2110104,신금호역 4번,골목상권,"86,222"
111,성동구,금호2.3가동,2110105,금동어린이공원,골목상권,"64,971"
112,성동구,금호1가동,2110106,금북초등학교,골목상권,"20,550"
113,성동구,금호4가동,2110107,금호사거리,골목상권,"22,053"
114,성동구,금호1가동,2110108,성동구립금호도서관,골목상권,"21,534"
115,성동구,금호1가동,2110109,금호삼성래미안아파트,골목상권,"35,076"
116,성동구,왕십리2동,2110110,상왕십리역 6번,골목상권,"53,091"
117,성동구,응봉동,2110111,대현산장미원,골목상권,"21,283"
118,성동구,행당1동,2110112,행당역 2번,골목상권,"66,720"
119,성동구,응봉동,2110113,응봉산,골목상권,"58,952"
120,성동구,왕십리도선동,2110114,왕십리파출소,골목상권,"30,911"
121,성동구,왕십리도선동,2110115,상왕십리역 3번,골목상권,"80,676"
122,성동구,마장동,2110116,청계천박물관,골목상권,"108,217"
123,성동구,마장동,2110117,성동구보건소,골목상권,"48,342"
124,성동구,행당1동,2110118,왕십리역 9번,골목상권,"66,939"
125,성동구,마장동,2110119,마장지하차도,골목상권,"25,760"
126,성동구,성수1가2동,2110120,서울숲카페거리,골목상권,"33,233"
127,성동구,사근동,2110121,한양대역 4번,골목상권,"29,162"
128,성동구,마장동,2110122,마장역 2번,골목상권,"83,661"
129,성동구,마장동,2110123,마장역 3번,골목상권,"163,093"
130,성동구,성수1가2동,2110124,뚝섬역교차로,골목상권,"82,099"
131,성동구,사근동,2110125,사근동살곶이상점가,골목상권,"135,699"
132,성동구,성수1가1동,2110126,서울숲역 1번,골목상권,"22,158"
133,성동구,성수1가1동,2110127,성수1가1동주민센터,골목상권,"38,577"
134,성동구,성수1가1동,2110128,성원중학교,골목상권,"250,948"
135,성동구,성수1가2동,2110129,성원어린이공원,골목상권,"70,354"
136,성동구,용답동,2110130,답십리역 6번,골목상권,"43,016"
137,성동구,성수2가1동,2110131,성수동카페거리,골목상권,"128,668"
138,성동구,성수2가3동,2110132,성수2가3동주민센터,골목상권,"74,737"
139,성동구,용답동,2110133,서울교통공사,골목상권,"82,768"
140,성동구,성수2가1동,2110134,성수119안전센터,골목상권,"212,321"
141,성동구,송정동,2110135,성동세무서,골목상권,"149,707"
142,성동구,성수2가1동,2110136,경수초등학교,골목상권,"262,494"
143,성동구,성수2가3동,2110137,성수초등학교,골목상권,"331,033"
144,성동구,송정동,2110138,송정체육공원,골목상권,"99,450"
145,광진구,자양4동,2110139,자양4동주민센터,골목상권,"156,275"
146,광진구,자양4동,2110140,건대입구역 6번,골목상권,"185,588"
147,광진구,화양동,2110141,건대입구역 1번,골목상권,"64,101"
148,광진구,화양동,2110142,화양사거리,골목상권,"113,866"
149,광진구,자양3동,2110143,뚝섬유원지역 1번,골목상권,"10,113"
150,광진구,화양동,2110144,어린이대공원역 4번,골목상권,"37,475"
151,광진구,군자동,2110145,장안초등학교,골목상권,"20,243"
152,광진구,자양3동,2110146,신자초등학교,골목상권,"104,121"
153,광진구,군자동,2110147,능동우편취급국,골목상권,"162,153"
154,광진구,화양동,2110148,어린이대공원역 3번,골목상권,"50,683"
155,광진구,군자동,2110149,세종대학교,골목상권,"41,016"
156,광진구,중곡1동,2110150,중곡1동 마을마당,골목상권,"160,182"
157,광진구,자양2동,2110151,자양한강도서관,골목상권,"102,588"
158,광진구,중곡1동,2110152,중곡어린이공원,골목상권,"47,200"
159,광진구,중곡1동,2110153,중곡1동주민센터,골목상권,"53,420"
160,광진구,자양1동,2110154,광진정말공원,골목상권,"104,848"
161,광진구,자양1동,2110155,광진구청,골목상권,"98,476"
162,광진구,능동,2110156,군자역 5번,골목상권,"164,979"
163,광진구,자양2동,2110157,자양동우체국,골목상권,"115,700"
164,광진구,중곡3동,2110158,중곡3동주민센터,골목상권,"166,463"
165,광진구,자양1동,2110159,구의역 4번,골목상권,"214,181"
166,광진구,구의1동,2110160,광진경찰서,골목상권,"49,630"
167,광진구,중곡3동,2110161,중곡역 3번,골목상권,"139,983"
168,광진구,중곡2동,2110162,군자역 4번,골목상권,"69,787"
169,광진구,자양2동,2110163,성자초등학교,골목상권,"64,048"
170,광진구,능동,2110164,아차산역 5번,골목상권,"86,072"
171,광진구,중곡2동,2110165,국립정신건강센터,골목상권,"103,258"
172,광진구,구의1동,2110166,구의1동주민센터,골목상권,"131,345"
173,광진구,중곡2동,2110167,용마초등학교,골목상권,"154,151"
174,광진구,중곡4동,2110168,대원고등학교,골목상권,"78,787"
175,광진구,자양2동,2110169,성동초등학교,골목상권,"70,276"
176,광진구,구의1동,2110170,동대부여고,골목상권,"116,645"
177,광진구,중곡4동,2110171,중곡4동주민센터,골목상권,"47,345"
178,광진구,구의2동,2110172,광진초등학교,골목상권,"97,966"
179,광진구,구의3동,2110173,구남초등학교,골목상권,"48,282"
180,광진구,중곡4동,2110174,아차산역 1번,골목상권,"103,408"
181,광진구,구의3동,2110175,푸른동산공원,골목상권,"103,222"
182,광진구,중곡4동,2110176,해오름공원,골목상권,"130,062"
183,광진구,구의2동,2110177,동의초등학교,골목상권,"38,884"
184,광진구,광장동,2110178,장로회신학대학교,골목상권,"62,460"
185,광진구,광장동,2110179,광나루역 1번,골목상권,"41,904"
186,광진구,광장동,2110180,광진정보도서관,골목상권,"88,206"
187,동대문구,용신동,2110181,신설동역 9번,골목상권,"140,583"
188,동대문구,용신동,2110182,용두희망어린이공원,골목상권,"60,061"
189,동대문구,용신동,2110183,한국의류시험연구원,골목상권,"41,952"
190,동대문구,용신동,2110184,용두사거리,골목상권,"30,532"
191,동대문구,용신동,2110185,용두초등학교,골목상권,"29,199"
192,동대문구,제기동,2110186,종암초등학교,골목상권,"19,902"
193,동대문구,용신동,2110187,제기동역 6번,골목상권,"158,559"
194,동대문구,용신동,2110188,용두동신동아아파트,골목상권,"150,730"
195,동대문구,제기동,2110189,제기동역 1번,골목상권,"95,724"
196,동대문구,제기동,2110190,고대앞사거리,골목상권,"102,196"
198,동대문구,용신동,2110192,동의보감타워,골목상권,"32,632"
199,동대문구,제기동,2110193,고려대역 4번,골목상권,"66,926"
200,동대문구,제기동,2110194,홍파초등학교,골목상권,"88,237"
201,동대문구,용신동,2110195,동대문구청,골목상권,"115,580"
202,동대문구,청량리동,2110196,홍릉근린공원,골목상권,"37,341"
203,동대문구,청량리동,2110197,세종대왕기념관교차로,골목상권,"25,787"
204,동대문구,제기동,2110198,동대문중앙새마을금고본점,골목상권,"16,333"
205,동대문구,제기동,2110199,홍릉시장,골목상권,"70,017"
206,동대문구,청량리동,2110200,동대문경찰서,골목상권,"35,791"
207,동대문구,전농1동,2110201,전농119안전센터,골목상권,"22,847"
208,동대문구,전농1동,2110202,"전농1동주민센터
(전농시장)",골목상권,"34,682"
209,동대문구,청량리동,2110203,떡전교사거리,골목상권,"45,861"
210,동대문구,답십리1동,2110204,간데메공원,골목상권,"120,357"
211,동대문구,회기동,2110205,경희대삼거리,골목상권,"89,794"
212,동대문구,전농1동,2110206,텃골근린공원,골목상권,"100,816"
213,동대문구,전농1동,2110207,시립대앞사거리,골목상권,"38,626"
214,동대문구,회기동,2110208,시조사삼거리,골목상권,"47,400"
215,동대문구,답십리1동,2110209,답십리 장령당공원,골목상권,"29,213"
216,동대문구,전농1동,2110210,서울시립대,골목상권,"111,350"
217,동대문구,전농1동,2110211,전곡마을마당공원,골목상권,"125,666"
218,동대문구,답십리1동,2110212,답십리초등학교,골목상권,"81,212"
219,동대문구,이문1동,2110213,청량초등학교,골목상권,"39,223"
220,동대문구,이문1동,2110214,경희대후문,골목상권,"94,681"
221,동대문구,휘경1동,2110215,회기역 1번,골목상권,"50,655"
222,동대문구,전농2동,2110216,전농중학교,골목상권,"62,723"
223,동대문구,답십리2동,2110217,자동차부품상가,골목상권,"60,831"
224,동대문구,답십리2동,2110218,답십리사거리,골목상권,"82,263"
225,동대문구,휘경2동,2110219,삼육보건대학교,골목상권,"180,075"
226,동대문구,이문1동,2110220,외대앞역 1번,골목상권,"98,626"
227,성북구,석관동,2110221,의릉,골목상권,"46,191"
228,동대문구,휘경1동,2110222,회기역 2번,골목상권,"8,405"
229,동대문구,장안1동,2110223,군자초등학교,골목상권,"42,713"
230,동대문구,휘경1동,2110224,외대앞역 2번,골목상권,"44,211"
231,동대문구,답십리2동,2110225,촬영소사거리,골목상권,"56,018"
232,동대문구,장안1동,2110226,장안1동주민센터,골목상권,"285,287"
233,동대문구,답십리2동,2110227,답십리공원,골목상권,"52,180"
234,동대문구,장안2동,2110228,장안근린공원,골목상권,"177,690"
235,동대문구,장안1동,2110229,장평중학교,골목상권,"209,240"
236,동대문구,장안2동,2110230,장안현대홈타운1차아파트,골목상권,"78,866"
238,동대문구,장안2동,2110232,동대부고,골목상권,"103,493"
239,중랑구,중화2동,2110233,중랑역 1번,골목상권,"126,177"
240,중랑구,중화2동,2110234,중랑역 4번,골목상권,"54,212"
241,중랑구,중화2동,2110235,세화어린이공원,골목상권,"32,975"
242,중랑구,묵2동,2110236,신묵초등학교,골목상권,"175,355"
243,중랑구,면목2동,2110237,메가박스 상봉,골목상권,"124,156"
244,중랑구,중화2동,2110238,배꽃어린이공원,골목상권,"28,707"
245,중랑구,중화2동,2110239,중랑역 2번,골목상권,"9,231"
246,중랑구,중화2동,2110240,태릉시장 특화거리,골목상권,"45,169"
247,중랑구,묵2동,2110241,먹골역 5번,골목상권,"99,241"
248,중랑구,면목5동,2110242,면목5동주민센터,골목상권,"105,398"
249,중랑구,면목2동,2110243,중랑노인종합복지관,골목상권,"135,473"
250,중랑구,중화2동,2110244,중화역 4번,골목상권,"63,372"
251,중랑구,중화2동,2110245,KB국민은행 중화동지점,골목상권,"58,323"
252,중랑구,상봉2동,2110246,월드순복음교회,골목상권,"87,095"
253,중랑구,묵1동,2110247,먹골역 1번,골목상권,"141,932"
254,중랑구,묵1동,2110248,먹골파출소,골목상권,"38,064"
255,중랑구,중화1동,2110249,중화역 1번,골목상권,"169,705"
256,중랑구,묵1동,2110250,화랑대역 7번,골목상권,"39,406"
257,중랑구,중화1동,2110251,장안중학교,골목상권,"92,366"
258,중랑구,면목5동,2110252,장안제일시장,골목상권,"135,771"
