분기,시군구명,서비스업종코드,서비스업종,매출등급,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,최근10년영업기간,최근30년영업기간
1,강남구,CS100001,한식,4.0,116,145,2.2,2.7,77.3,50.1,34.3,2.7년,4.6년
1,강남구,CS100002,중식,4.0,14,8,3.0,1.7,73.2,54.7,28.8,2.7년,4.7년
1,강남구,CS100003,일식,4.0,27,27,2.9,2.9,83.2,62.9,43.5,2.8년,4.2년
1,강남구,CS100004,기타 외국식,3.0,39,37,2.7,2.6,85.4,53.4,30.1,2.6년,3.7년
1,강남구,CS100005,제과제빵,3.0,14,8,2.7,1.5,82.7,51.1,36.8,2.9년,4.4년
1,강남구,CS100006,패스트푸드,3.0,14,18,2.3,2.9,81.4,54.0,35.9,2.9년,4.4년
1,강남구,CS100007,치킨,4.0,5,17,1.4,4.9,71.1,49.2,24.3,2.7년,4.6년
1,강남구,CS100008,분식,4.0,59,49,4.9,4.1,60.0,32.5,21.6,2.2년,3.6년
1,강남구,CS100009,주점,4.0,6,26,0.9,3.8,86.0,36.8,22.5,2.7년,4.3년
1,강남구,CS100010,커피,3.0,70,60,3.0,2.6,75.9,51.3,33.1,2.8년,3.7년
1,강동구,CS100001,한식,3.0,53,54,2.3,2.3,75.1,52.9,32.2,2.6년,4.4년
1,강동구,CS100002,중식,3.0,8,7,4.5,3.9,83.3,53.6,25.0,2.5년,4.4년
1,강동구,CS100003,일식,3.0,10,5,4.0,2.0,88.5,56.3,28.6,2.4년,4.1년
1,강동구,CS100004,기타 외국식,3.0,6,4,2.8,1.9,74.5,47.4,42.1,2.4년,3.5년
1,강동구,CS100005,제과제빵,3.0,8,7,3.1,2.7,81.1,41.5,25.0,2.7년,4.3년
1,강동구,CS100006,패스트푸드,3.0,8,11,3.2,4.4,77.2,55.3,35.0,2.7년,4.2년
1,강동구,CS100007,치킨,3.0,5,16,1.7,5.3,79.3,35.2,31.0,2.4년,4.1년
1,강동구,CS100008,분식,3.0,18,9,3.3,1.7,71.1,38.1,28.5,2.4년,3.5년
1,강동구,CS100009,주점,3.0,3,9,0.8,2.4,72.0,22.3,27.7,2.6년,4.2년
1,강동구,CS100010,커피,3.0,44,19,6.0,2.6,81.5,48.7,28.3,2.6년,3.3년
1,강북구,CS100001,한식,3.0,39,47,1.9,2.3,74.3,49.2,32.3,2.6년,4.5년
1,강북구,CS100002,중식,2.0,5,3,4.3,2.6,69.2,51.7,22.7,2.3년,4.2년
1,강북구,CS100003,일식,2.0,5,4,3.9,3.1,77.8,53.6,24.2,2.4년,3.8년
1,강북구,CS100004,기타 외국식,2.0,4,2,3.7,1.9,70.4,66.7,5.9,2.2년,3.3년
1,강북구,CS100005,제과제빵,3.0,4,2,3.5,1.8,83.3,46.2,31.8,2.6년,4.6년
1,강북구,CS100006,패스트푸드,3.0,3,1,1.9,0.6,77.1,54.8,31.8,2.6년,4.3년
1,강북구,CS100007,치킨,3.0,4,9,1.9,4.3,64.4,35.6,25.0,2.5년,4.1년
1,강북구,CS100008,분식,2.0,16,10,4.7,2.9,60.0,37.9,25.8,2.4년,3.6년
1,강북구,CS100009,주점,3.0,9,13,2.8,4.1,71.1,34.2,18.6,2.4년,4년
1,강북구,CS100010,커피,3.0,34,17,7.7,3.8,78.0,45.2,23.7,2.5년,3.2년
1,강서구,CS100001,한식,3.0,96,103,3.1,3.3,74.7,49.7,32.6,2.5년,4.3년
1,강서구,CS100002,중식,3.0,8,6,3.2,2.4,71.4,41.1,31.1,2.5년,4.1년
1,강서구,CS100003,일식,3.0,20,8,5.4,2.2,82.1,44.9,30.4,2.5년,3.7년
1,강서구,CS100004,기타 외국식,3.0,15,10,5.3,3.5,72.4,44.4,31.3,2.4년,3.3년
1,강서구,CS100005,제과제빵,3.0,6,4,2.0,1.3,86.5,42.9,42.6,2.6년,4.2년
1,강서구,CS100006,패스트푸드,3.0,12,4,3.8,1.3,81.8,59.0,30.2,2.5년,4.1년
1,강서구,CS100007,치킨,3.0,14,16,4.1,4.7,67.1,45.3,25.9,2.5년,4.1년
1,강서구,CS100008,분식,3.0,48,32,7.2,4.8,68.1,40.5,32.7,2.3년,3.6년
1,강서구,CS100009,주점,3.0,9,15,1.8,2.9,71.4,40.9,19.1,2.7년,4.3년
1,강서구,CS100010,커피,3.0,55,40,5.6,4.0,75.4,51.1,33.2,2.6년,3년
1,관악구,CS100001,한식,3.0,53,79,2.0,3.0,72.0,53.6,31.4,2.6년,4.5년
1,관악구,CS100002,중식,3.0,6,10,2.7,4.5,78.0,42.2,30.0,2.5년,4.2년
1,관악구,CS100003,일식,3.0,11,9,3.8,3.1,77.6,48.4,29.8,2.4년,3.6년
1,관악구,CS100004,기타 외국식,2.0,8,9,2.8,3.2,70.4,64.9,25.0,2.4년,3.8년
1,관악구,CS100005,제과제빵,3.0,6,6,2.8,2.8,87.1,50.0,26.8,2.7년,4.6년
1,관악구,CS100006,패스트푸드,3.0,8,11,3.1,4.3,66.7,43.5,39.1,2.5년,4.1년
1,관악구,CS100007,치킨,3.0,6,10,2.2,3.6,57.6,32.8,17.9,2.5년,4년
1,관악구,CS100008,분식,3.0,18,16,3.0,2.7,56.6,41.5,22.4,2.3년,3.8년
1,관악구,CS100009,주점,3.0,10,8,2.2,1.7,85.7,34.2,24.5,2.5년,4.2년
1,관악구,CS100010,커피,3.0,39,24,5.3,3.3,76.1,43.6,25.4,2.5년,3.3년
1,광진구,CS100001,한식,3.0,50,52,2.2,2.3,73.1,55.3,38.8,2.8년,4.7년
1,광진구,CS100002,중식,3.0,6,6,2.6,2.6,89.7,55.3,37.5,2.9년,4.2년
1,광진구,CS100003,일식,3.0,6,4,2.4,1.6,78.8,50.8,26.8,2.7년,4.2년
1,광진구,CS100004,기타 외국식,3.0,9,5,3.5,2.0,84.8,56.9,31.8,2.5년,3.9년
1,광진구,CS100005,제과제빵,3.0,7,3,3.1,1.3,82.9,45.3,30.0,2.7년,4.6년
1,광진구,CS100006,패스트푸드,3.0,9,8,4.0,3.5,69.7,57.1,47.2,2.8년,4.6년
