분기,시군구명,서비스업종,개업수,폐업수,개업률,폐업률
1,종로구,한식,42,55,1.4,1.9
1,중구,한식,37,58,1.3,2.1
1,용산구,한식,50,28,2.7,1.5
1,성동구,한식,39,56,2,2.9
1,광진구,한식,50,52,2.2,2.3
1,동대문구,한식,51,51,2.1,2.1
1,중랑구,한식,42,49,1.9,2.2
1,성북구,한식,40,43,1.9,2.1
1,강북구,한식,39,47,1.9,2.3
1,도봉구,한식,29,31,1.9,2.1
1,노원구,한식,35,48,1.7,2.3
1,은평구,한식,43,50,2,2.3
1,서대문구,한식,33,27,1.8,1.5
1,마포구,한식,80,116,2.3,3.3
1,양천구,한식,40,42,2.2,2.4
1,강서구,한식,96,103,3.1,3.3
1,구로구,한식,47,35,2,1.5
1,금천구,한식,45,40,2.5,2.2
1,영등포구,한식,58,68,1.7,2
1,동작구,한식,31,28,1.6,1.5
1,관악구,한식,53,79,2,3
1,서초구,한식,43,65,1.4,2.2
1,강남구,한식,116,145,2.2,2.7
1,송파구,한식,81,100,2.2,2.7
1,강동구,한식,53,54,2.3,2.3
2,종로구,한식,62,42,2.1,1.4
2,중구,한식,60,46,2.2,1.7
2,용산구,한식,51,35,2.8,1.9
2,성동구,한식,56,49,2.9,2.6
2,광진구,한식,64,68,2.8,3
2,동대문구,한식,73,56,3,2.3
2,중랑구,한식,66,60,2.9,2.7
2,성북구,한식,58,42,2.8,2
2,강북구,한식,50,51,2.5,2.5
2,도봉구,한식,41,34,2.7,2.3
2,노원구,한식,46,41,2.2,2
2,은평구,한식,67,65,3.1,3
2,서대문구,한식,39,41,2.1,2.2
2,마포구,한식,126,99,3.6,2.8
2,양천구,한식,54,64,3,3.6
2,강서구,한식,116,86,3.7,2.7
2,구로구,한식,64,69,2.8,3
2,금천구,한식,46,52,2.5,2.8
2,영등포구,한식,75,76,2.2,2.2
2,동작구,한식,56,53,3,2.8
2,관악구,한식,85,73,3.2,2.7
2,서초구,한식,70,88,2.3,2.9
2,강남구,한식,174,160,3.3,3
2,송파구,한식,128,89,3.4,2.4
2,강동구,한식,61,73,2.6,3.1
3,종로구,한식,79,119,2.7,4.1
3,중구,한식,58,101,2.1,3.7
3,용산구,한식,41,66,2.2,3.6
3,성동구,한식,49,78,2.6,4.1
3,광진구,한식,67,106,3,4.8
3,동대문구,한식,64,121,2.7,5
3,중랑구,한식,58,115,2.6,5.2
3,성북구,한식,59,92,2.9,4.5
3,강북구,한식,52,96,2.7,4.9
3,도봉구,한식,30,64,2.1,4.4
3,노원구,한식,43,110,2.2,5.5
3,은평구,한식,58,94,2.7,4.4
3,서대문구,한식,52,97,2.9,5.4
3,마포구,한식,98,180,2.9,5.3
3,양천구,한식,36,77,2.1,4.5
