데이터기준년월,시군구명,서비스업종코드,서비스업종,매출등급
202201,강남구,CS100001,한식,2.0
202201,강남구,CS100002,중식,2.0
202201,강남구,CS100003,일식,2.0
202201,강남구,CS100004,기타 외국식,2.0
202201,강남구,CS100005,제과제빵,3.0
202201,강남구,CS100006,패스트푸드,3.0
202201,강남구,CS100007,치킨,2.0
202201,강남구,CS100008,분식,2.0
202201,강남구,CS100009,주점,1.5
202201,강남구,CS100010,커피,3.0
202201,강동구,CS100001,한식,3.0
202201,강동구,CS100002,중식,3.0
202201,강동구,CS100003,일식,3.0
202201,강동구,CS100004,기타 외국식,3.0
202201,강동구,CS100005,제과제빵,3.0
202201,강동구,CS100006,패스트푸드,3.0
202201,강동구,CS100007,치킨,3.0
202201,강동구,CS100008,분식,3.0
202201,강동구,CS100009,주점,3.0
202201,강동구,CS100010,커피,3.0
202201,강북구,CS100001,한식,4.0
202201,강북구,CS100002,중식,3.0
202201,강북구,CS100003,일식,4.0
202201,강북구,CS100004,기타 외국식,4.0
202201,강북구,CS100005,제과제빵,3.0
202201,강북구,CS100006,패스트푸드,3.0
202201,강북구,CS100007,치킨,3.0
202201,강북구,CS100008,분식,4.0
202201,강북구,CS100009,주점,3.0
202201,강북구,CS100010,커피,4.0
202201,강서구,CS100001,한식,3.0
202201,강서구,CS100002,중식,3.0
202201,강서구,CS100003,일식,3.0
202201,강서구,CS100004,기타 외국식,3.0
202201,강서구,CS100005,제과제빵,3.0
202201,강서구,CS100006,패스트푸드,3.0
202201,강서구,CS100007,치킨,3.0
202201,강서구,CS100008,분식,3.0
202201,강서구,CS100009,주점,3.0
202201,강서구,CS100010,커피,3.0
202201,관악구,CS100001,한식,3.0
202201,관악구,CS100002,중식,4.0
202201,관악구,CS100003,일식,3.0
202201,관악구,CS100004,기타 외국식,4.0
202201,관악구,CS100005,제과제빵,3.0
202201,관악구,CS100006,패스트푸드,3.0
202201,관악구,CS100007,치킨,3.0
202201,관악구,CS100008,분식,3.0
