,분기,시군구명,서비스업종코드,서비스업종,매출등급,매출등급01,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,1년생존률(신),3년생존률(신),5년생존률(신),최근10년영업기간,최근30년영업기간
0,1,강남구,CS100001,한식,3.607717934480844,2,116,145,2.2,2.7,71.8,46.9,35.2,77.3,50.1,34.3,2.7년,4.6년
1,1,강동구,CS100001,한식,2.7754237288135597,1,53,54,2.3,2.3,73.9,46.9,37.6,75.1,52.9,32.2,2.6년,4.4년
2,1,강북구,CS100001,한식,2.540466392318244,0,39,47,1.9,2.3,70.3,45.3,36.5,74.3,49.2,32.3,2.6년,4.5년
3,1,강서구,CS100001,한식,3.0151582701738744,1,96,103,3.1,3.3,72.0,45.5,33.6,74.7,49.7,32.6,2.5년,4.3년
4,1,관악구,CS100001,한식,2.721896643580181,1,53,79,2.0,3.0,66.7,44.3,32.4,72.0,53.6,31.4,2.6년,4.5년
5,1,광진구,CS100001,한식,2.8613569321533925,1,50,52,2.2,2.3,71.2,50.9,36.3,73.1,55.3,38.8,2.8년,4.7년
6,1,구로구,CS100001,한식,2.7946210268948657,1,47,35,2.0,1.5,76.9,49.3,35.4,81.8,59.1,35.5,2.8년,4.9년
7,1,금천구,CS100001,한식,2.8283636363636364,1,45,40,2.5,2.2,66.4,45.6,35.3,82.0,56.3,33.8,2.6년,4.7년
8,1,노원구,CS100001,한식,2.794340924775707,1,35,48,1.7,2.3,72.2,52.5,42.0,77.1,52.1,39.7,2.8년,4.8년
9,1,도봉구,CS100001,한식,2.6086564472497744,0,29,31,1.9,2.1,63.4,41.5,33.3,80.3,55.6,40.4,2.7년,4.7년
10,1,동대문구,CS100001,한식,2.5903614457831323,0,51,51,2.1,2.1,71.1,48.3,36.4,76.7,56.0,35.0,2.8년,4.7년
11,1,동작구,CS100001,한식,2.8968,1,31,28,1.6,1.5,78.3,53.4,39.5,81.9,56.3,40.0,3년,5.3년
12,1,마포구,CS100001,한식,3.1455058444175736,2,80,116,2.3,3.3,67.6,45.5,33.3,79.3,55.6,31.9,2.7년,4.6년
13,1,서대문구,CS100001,한식,2.824804856895057,1,33,27,1.8,1.5,78.3,53.9,43.4,83.1,55.6,40.3,2.9년,5.2년
14,1,서초구,CS100001,한식,3.5670976370931786,2,43,65,1.4,2.2,71.0,47.8,37.1,81.3,52.7,34.5,2.9년,4.9년
15,1,성동구,CS100001,한식,3.040494166094715,1,39,56,2.0,2.9,78.7,53.3,38.3,76.9,51.7,39.5,2.9년,4.9년
16,1,성북구,CS100001,한식,2.662346521145976,0,40,43,1.9,2.1,77.1,50.0,39.7,83.7,57.7,36.9,2.9년,4.9년
17,1,송파구,CS100001,한식,3.051869722557298,1,81,100,2.2,2.7,71.9,46.4,35.2,77.2,53.4,36.8,2.7년,4.5년
18,1,양천구,CS100001,한식,2.788321167883212,1,40,42,2.2,2.4,69.2,47.4,36.7,79.1,50.2,31.9,2.7년,4.5년
19,1,영등포구,CS100001,한식,3.173114497850723,2,58,68,1.7,2.0,75.6,48.5,38.9,82.3,56.9,34.9,2.8년,4.8년
20,1,용산구,CS100001,한식,3.2738367658276126,2,50,28,2.7,1.5,78.0,55.2,42.1,83.2,58.8,38.5,3.1년,5.2년
21,1,은평구,CS100001,한식,2.663551401869159,0,43,50,2.0,2.3,70.1,44.9,32.6,79.2,56.3,34.1,2.6년,4.6년
22,1,종로구,CS100001,한식,3.2591055786076533,2,42,55,1.4,1.9,75.1,49.0,41.1,85.7,61.1,45.3,3.1년,5.6년
23,1,중구,CS100001,한식,3.35130890052356,2,37,58,1.3,2.1,72.8,51.5,38.5,87.3,60.2,39.1,3.1년,5.8년
24,1,중랑구,CS100001,한식,2.587692307692308,0,42,49,1.9,2.2,70.3,44.6,33.3,78.9,50.5,33.3,2.7년,4.5년
25,1,강남구,CS100002,중식,3.882005899705015,2,14,8,3.0,1.7,72.1,50.0,44.1,73.2,54.7,28.8,2.7년,4.7년
26,1,강동구,CS100002,중식,2.7092198581560285,0,8,7,4.5,3.9,67.7,41.9,32.3,83.3,53.6,25.0,2.5년,4.4년
27,1,강북구,CS100002,중식,2.5,0,5,3,4.3,2.6,73.1,38.5,34.6,69.2,51.7,22.7,2.3년,4.2년
28,1,강서구,CS100002,중식,3.0251256281407035,1,8,6,3.2,2.4,83.3,53.7,40.7,71.4,41.1,31.1,2.5년,4.1년
29,1,관악구,CS100002,중식,2.6779661016949152,0,6,10,2.7,4.5,66.0,38.0,26.0,78.0,42.2,30.0,2.5년,4.2년
30,1,광진구,CS100002,중식,2.906735751295337,1,6,6,2.6,2.6,69.6,52.2,45.7,89.7,55.3,37.5,2.9년,4.2년
31,1,구로구,CS100002,중식,2.247272727272727,0,12,7,3.3,1.9,58.3,31.3,27.1,76.6,42.6,24.5,2.5년,3.7년
32,1,금천구,CS100002,중식,2.63125,0,9,4,4.5,2.0,55.7,44.3,36.1,85.7,38.0,29.6,2.3년,3.5년
33,1,노원구,CS100002,중식,2.776923076923077,1,3,3,1.9,1.9,77.8,55.6,50.0,94.4,61.1,30.4,2.7년,4.7년
34,1,도봉구,CS100002,중식,2.8271604938271606,1,3,4,3.0,4.0,73.7,57.9,36.8,100.0,44.4,41.7,2.8년,4.7년
35,1,동대문구,CS100002,중식,2.515923566878981,0,5,4,2.4,1.9,79.4,52.9,35.3,85.2,48.9,13.9,2.6년,4.4년
36,1,동작구,CS100002,중식,2.826771653543307,1,8,6,4.9,3.7,90.9,72.7,54.5,77.3,42.3,40.0,3.1년,4.4년
37,1,마포구,CS100002,중식,3.213178294573644,2,14,11,4.4,3.5,72.7,60.6,43.9,74.0,54.1,34.7,2.7년,4.4년
38,1,서대문구,CS100002,중식,2.9430894308943087,1,7,8,4.0,4.5,72.0,44.0,36.0,84.6,48.4,40.7,2.8년,4.3년
39,1,서초구,CS100002,중식,3.81,2,9,7,3.4,2.7,76.2,52.4,38.1,81.6,55.2,29.7,2.8년,5년
40,1,성동구,CS100002,중식,3.142857142857143,2,7,4,4.5,2.6,73.7,52.6,42.1,81.0,44.4,22.2,2.7년,4.5년
41,1,성북구,CS100002,중식,2.776923076923077,1,6,4,3.6,2.4,94.7,57.9,47.4,93.8,51.4,25.0,2.9년,5.1년
42,1,송파구,CS100002,중식,3.1559633027522938,2,13,9,4.7,3.2,79.2,56.6,35.8,83.3,41.8,49.0,2.6년,4.2년
