"기준_년월_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"2022","4","A","골목상권","2110465","연신내역 7번","229","110","119","3","36","48","55","52","35","2","11","25","24","23","25","1","25","23","31","29","10"
"2022","4","A","골목상권","2110188","용두동신동아아파트","807","607","200","8","104","178","229","191","97","2","68","150","181","132","74","6","36","28","48","59","23"
"2022","4","A","골목상권","2110863","난우초등학교","319","179","140","6","40","61","63","79","70","5","23","30","38","36","47","1","17","31","25","43","23"
"2022","4","R","전통시장","2130279","관악신사시장","120","63","57","0","17","20","27","37","19","0","5","10","16","20","12","0","12","10","11","17","7"
"2022","4","R","전통시장","2130275","강남골목시장","168","124","44","0","17","40","46","35","30","0","15","33","30","24","22","0","2","7","16","11","8"
"2022","4","R","전통시장","2130250","삼구시장(로타리상가)","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"2022","4","A","골목상권","2110806","서울시립영등포장애인복지관","76","42","34","0","18","30","13","13","2","0","5","16","9","11","1","0","13","14","4","2","1"
"2022","4","A","골목상권","2110800","영등포동성당","227","153","74","0","26","34","61","66","40","0","13","22","37","46","35","0","13","12","24","20","5"
"2022","4","A","골목상권","2110775","대동초등학교","61","30","31","0","5","13","20","15","8","0","2","6","6","10","6","0","3","7","14","5","2"
"2022","4","R","전통시장","2130245","영일시장","675","567","108","1","61","189","238","136","50","0","41","148","217","115","46","1","20","41","21","21","4"
"2022","4","A","골목상권","2110816","대방역 6번","521","404","117","1","73","138","153","68","88","1","50","109","114","50","80","0","23","29","39","18","8"
"2022","4","A","골목상권","2110786","당산역 8번","271","179","92","2","20","41","60","51","97","2","8","21","42","38","68","0","12","20","18","13","29"
"2022","4","R","전통시장","2130240","영등포유통상가","1183","753","430","0","95","232","273","252","331","0","52","127","178","168","228","0","43","105","95","84","103"
"2022","4","A","골목상권","2110859","난향초등학교","182","113","69","0","11","32","42","52","45","0","0","21","27","30","35","0","11","11","15","22","10"
"2022","4","A","골목상권","2110589","애오개역 3번","58","14","44","0","4","8","19","13","14","0","0","1","5","6","2","0","4","7","14","7","12"
"2022","4","A","골목상권","2110231","장안교","11","8","3","0","0","1","4","5","1","0","0","1","3","4","0","0","0","0","1","1","1"
"2022","4","A","골목상권","2110473","구산역 1번","436","241","195","0","34","59","113","107","123","0","24","27","53","49","88","0","10","32","60","58","35"
"2022","4","A","골목상권","2110126","서울숲역 1번","27","18","9","0","0","7","2","12","6","0","0","6","0","7","5","0","0","1","2","5","1"
"2022","4","A","골목상권","2111090","강일동주민센터","91","35","56","0","15","30","23","17","6","0","1","10","10","10","4","0","14","20","13","7","2"
"2022","4","R","전통시장","2130144","백운시장","38","17","21","0","0","3","13","14","8","0","0","0","5","5","7","0","0","3","8","9","1"
"2022","4","A","골목상권","2110191","고려대역 6번","48","41","7","0","1","12","14","9","12","0","1","10","11","8","11","0","0","2","3","1","1"
"2022","4","A","골목상권","2110960","은광여고","1522","692","830","5","207","255","373","502","180","4","55","110","190","212","121","1","152","145","183","290","59"
"2022","4","A","골목상권","2110412","창동중학교","25","23","2","0","4","7","3","4","7","0","3","7","3","3","7","0","1","0","0","1","0"
"2022","4","D","발달상권","2120168","서울고교교차로","569","378","191","1","58","166","147","103","94","0","28","98","107","78","67","1","30","68","40","25","27"
