분기,시군구명,서비스업종,1년생존율,3년생존율,5년생존율
1,종로구,전체,80.5,57.3,39.3
1,중구,전체,81.3,56.0,36.2
1,용산구,전체,84.6,55.7,38.3
1,성동구,전체,82.6,53.0,35.5
1,광진구,전체,76.2,52.7,32.8
1,동대문구,전체,76.4,51.5,34.3
1,중랑구,전체,74.4,45.6,30.4
1,성북구,전체,79.1,57.9,34.6
1,강북구,전체,73.4,48.2,31.7
1,도봉구,전체,75.1,50.5,31.2
1,노원구,전체,73.7,50.7,33.8
1,은평구,전체,74.8,48.5,30.4
1,서대문구,전체,78.9,50.2,32.6
1,마포구,전체,77.0,49.9,30.3
1,양천구,전체,73.4,49.0,32.9
1,강서구,전체,73.7,46.9,32.4
1,구로구,전체,76.7,48.0,33.3
1,금천구,전체,75.8,50.9,32.3
1,영등포구,전체,78.8,52.1,36.7
1,동작구,전체,79.8,52.2,34.2
1,관악구,전체,71.1,49.9,29.7
1,서초구,전체,77.0,53.7,38.4
1,강남구,전체,74.7,50.2,33.8
1,송파구,전체,72.3,48.1,33.2
1,강동구,전체,71.4,48.7,32.4
