분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
1,종로구,한식,85.7,61.1,45.3
1,중구,한식,87.3,60.2,39.1
1,용산구,한식,83.2,58.8,38.5
1,성동구,한식,76.9,51.7,39.5
1,광진구,한식,73.1,55.3,38.8
1,동대문구,한식,76.7,56,35
1,중랑구,한식,78.9,50.5,33.3
1,성북구,한식,83.7,57.7,36.9
1,강북구,한식,74.3,49.2,32.3
1,도봉구,한식,80.3,55.6,40.4
1,노원구,한식,77.1,52.1,39.7
1,은평구,한식,79.2,56.3,34.1
1,서대문구,한식,83.1,55.6,40.3
1,마포구,한식,79.3,55.6,31.9
1,양천구,한식,79.1,50.2,31.9
1,강서구,한식,74.7,49.7,32.6
1,구로구,한식,81.8,59.1,35.5
1,금천구,한식,82,56.3,33.8
1,영등포구,한식,82.3,56.9,34.9
1,동작구,한식,81.9,56.3,40
1,관악구,한식,72,53.6,31.4
1,서초구,한식,81.3,52.7,34.5
1,강남구,한식,77.3,50.1,34.3
1,송파구,한식,77.2,53.4,36.8
1,강동구,한식,75.1,52.9,32.2
2,종로구,한식,88.4,63.2,42.9
2,중구,한식,90.2,62,39.9
2,용산구,한식,84.7,59.9,39.1
2,성동구,한식,79,51,37.1
2,광진구,한식,76.3,54.5,36.6
2,동대문구,한식,79.4,54.9,35.4
2,중랑구,한식,78.7,51.9,32.4
2,성북구,한식,85.8,60.3,39.8
2,강북구,한식,76.7,51.5,34.5
2,도봉구,한식,79.6,55.3,39.3
2,노원구,한식,79.8,56.8,41.8
2,은평구,한식,81.5,54.7,36.1
2,서대문구,한식,83.5,54.9,42.1
2,마포구,한식,79.8,56.6,31.2
2,양천구,한식,81.5,49.2,33.9
2,강서구,한식,77.6,50,34.2
2,구로구,한식,82.3,57.2,39.1
2,금천구,한식,83,57.3,33.4
2,영등포구,한식,85.4,56.2,38.1
2,동작구,한식,81.6,58.8,42.7
2,관악구,한식,73.7,56.5,32.8
2,서초구,한식,81.4,52.9,34.1
2,강남구,한식,78.8,52.4,35.2
2,송파구,한식,78.3,54.8,36.5
2,강동구,한식,72,53.2,33.4
3,종로구,한식,85.3,62.2,40.9
3,중구,한식,84.7,62.4,37.8
3,용산구,한식,86.8,58.1,39.3
3,성동구,한식,78,54.2,39.1
3,광진구,한식,76.5,53.9,33
3,동대문구,한식,76.1,54.7,34.5
3,중랑구,한식,73.2,55,33.7
3,성북구,한식,79.9,60.6,37.9
3,강북구,한식,75.2,50.1,35.3
3,도봉구,한식,75.7,53.7,35.9
3,노원구,한식,71.7,55.9,42.4
3,은평구,한식,77.1,54.8,34.5
3,서대문구,한식,81.3,50.7,43.4
3,마포구,한식,77.8,54.7,31.1
3,양천구,한식,75.9,48.9,35.4
3,강서구,한식,74.2,48.1,33.3
3,구로구,한식,78,50.6,37.9
3,금천구,한식,80.8,56.1,31.9
3,영등포구,한식,82.4,54.1,37.9
3,동작구,한식,77.5,61.3,39.7
3,관악구,한식,69.7,51,31.3
3,서초구,한식,78,51.8,36.4
3,강남구,한식,73.8,53.2,34.3
3,송파구,한식,72.7,50.9,34.8
3,강동구,한식,68,52.4,34.3
4,종로구,한식,82.2,66,41.4
4,중구,한식,84.5,61.2,39
4,용산구,한식,85.7,59.3,42.9
4,성동구,한식,83.7,56.6,38.7
4,광진구,한식,76.7,52.1,36.6
4,동대문구,한식,75.5,55,37.2
4,중랑구,한식,71.9,51.1,33.9
4,성북구,한식,80.1,59.9,40
4,강북구,한식,72.7,50.1,36.5
4,도봉구,한식,73.9,54.1,33.7
4,노원구,한식,71.6,51.9,42.6
4,은평구,한식,72.6,53.5,33.7
4,서대문구,한식,78.7,50.9,44.2
4,마포구,한식,77.2,54,33.9
4,양천구,한식,75.2,49.1,37
4,강서구,한식,72.9,48.4,33.9
4,구로구,한식,74.8,50.2,36.7
4,금천구,한식,78.6,53.8,35.7
4,영등포구,한식,80.5,56.3,39.5
4,동작구,한식,77,60.7,40.6
4,관악구,한식,70,49.4,33.3
4,서초구,한식,76,53.1,37.9
4,강남구,한식,74,53,35.8
4,송파구,한식,71.8,48.6,35.5
4,강동구,한식,70.5,50.7,38
1,종로구,중식,95.2,41,34.2
1,중구,중식,88.5,63.5,51.4
1,용산구,중식,86.4,71.4,47.6
1,성동구,중식,81,44.4,22.2
1,광진구,중식,89.7,55.3,37.5
1,동대문구,중식,85.2,48.9,13.9
1,중랑구,중식,66.7,37,30.8
1,성북구,중식,93.8,51.4,25
1,강북구,중식,69.2,51.7,22.7
1,도봉구,중식,100,44.4,41.7
1,노원구,중식,94.4,61.1,30.4
1,은평구,중식,66.7,45.8,33.3
1,서대문구,중식,84.6,48.4,40.7
1,마포구,중식,74,54.1,34.7
1,양천구,중식,70.6,47.6,37.5
1,강서구,중식,71.4,41.1,31.1
1,구로구,중식,76.6,42.6,24.5
1,금천구,중식,85.7,38,29.6
1,영등포구,중식,75.9,48,25.4
1,동작구,중식,77.3,42.3,40
1,관악구,중식,78,42.2,30
1,서초구,중식,81.6,55.2,29.7
1,강남구,중식,73.2,54.7,28.8
1,송파구,중식,83.3,41.8,49
1,강동구,중식,83.3,53.6,25
2,종로구,중식,96.6,42.9,35
2,중구,중식,87.9,63,47.5
2,용산구,중식,87.5,58.6,39.1
2,성동구,중식,70.8,60.9,28
2,광진구,중식,100,60.4,38
2,동대문구,중식,75.7,46.9,29.7
2,중랑구,중식,63.2,38.1,28
2,성북구,중식,90.9,56.1,30.4
2,강북구,중식,64,62.1,28.6
2,도봉구,중식,90.5,70,31.8
2,노원구,중식,88.9,48,34.8
2,은평구,중식,79.1,30.4,36.7
2,서대문구,중식,86.2,48.8,37
2,마포구,중식,72.1,53.4,39.7
2,양천구,중식,73.7,54.5,45
2,강서구,중식,66.7,49.1,32.1
2,구로구,중식,75,47.4,28.1
2,금천구,중식,79.2,37.7,33.3
2,영등포구,중식,79.3,49.2,27.6
2,동작구,중식,71.4,40,42.9
2,관악구,중식,75.9,57.1,29
2,서초구,중식,79.1,50,38.2
2,강남구,중식,70.5,52.1,34.8
2,송파구,중식,73.8,38.9,43.1
2,강동구,중식,75.6,55.9,38.7
3,종로구,중식,92.6,39.1,42.2
3,중구,중식,71.9,53.8,36.2
3,용산구,중식,84.6,53.6,32
3,성동구,중식,73.3,55,33.3
3,광진구,중식,96.6,48,41.8
3,동대문구,중식,77.3,47.5,36.1
3,중랑구,중식,71.4,38.5,35
3,성북구,중식,82.1,61.2,47.1
3,강북구,중식,60.9,64.3,25.9
3,도봉구,중식,81,60,37.5
3,노원구,중식,76.7,45.5,36.4
3,은평구,중식,78.9,28,35.3
3,서대문구,중식,84.4,45.1,40.9
3,마포구,중식,71.4,53.3,43.1
3,양천구,중식,73.1,56.5,37.5
3,강서구,중식,64.5,49.1,37.7
3,구로구,중식,82,52,24.3
3,금천구,중식,74.5,39.2,36.7
3,영등포구,중식,80,53.1,31.4
3,동작구,중식,73.9,50,45.5
3,관악구,중식,62.7,58.5,30.5
3,서초구,중식,76.7,37.5,35.7
3,강남구,중식,68.7,48,34.8
3,송파구,중식,66.7,48.3,37
3,강동구,중식,75,48.5,26.1
4,종로구,중식,76.9,40.8,41.3
4,중구,중식,65.6,54.2,33.3
4,용산구,중식,89.3,48.1,37.5
4,성동구,중식,76.7,71.4,47.4
4,광진구,중식,87.1,47.1,45.7
4,동대문구,중식,82.5,45.5,35.3
4,중랑구,중식,76,35.7,28.6
4,성북구,중식,71.4,62.5,47.4
4,강북구,중식,72,41.9,34.6
4,도봉구,중식,75,58.8,36.8
4,노원구,중식,71,53.1,50
4,은평구,중식,61.1,48.3,36.7
