분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
1,종로구,한식,75.1,49,41.1
1,중구,한식,72.8,51.5,38.5
1,용산구,한식,78,55.2,42.1
1,성동구,한식,78.7,53.3,38.3
1,광진구,한식,71.2,50.9,36.3
1,동대문구,한식,71.1,48.3,36.4
1,중랑구,한식,70.3,44.6,33.3
1,성북구,한식,77.1,50,39.7
1,강북구,한식,70.3,45.3,36.5
1,도봉구,한식,63.4,41.5,33.3
1,노원구,한식,72.2,52.5,42
1,은평구,한식,70.1,44.9,32.6
1,서대문구,한식,78.3,53.9,43.4
1,마포구,한식,67.6,45.5,33.3
1,양천구,한식,69.2,47.4,36.7
1,강서구,한식,72,45.5,33.6
1,구로구,한식,76.9,49.3,35.4
1,금천구,한식,66.4,45.6,35.3
1,영등포구,한식,75.6,48.5,38.9
1,동작구,한식,78.3,53.4,39.5
1,관악구,한식,66.7,44.3,32.4
1,서초구,한식,71,47.8,37.1
1,강남구,한식,71.8,46.9,35.2
1,송파구,한식,71.9,46.4,35.2
1,강동구,한식,73.9,46.9,37.6
2,종로구,한식,75.1,49,41.1
2,중구,한식,72.8,51.5,38.5
2,용산구,한식,78,55.2,42.1
2,성동구,한식,78.7,53.3,38.3
2,광진구,한식,71.2,50.9,36.3
2,동대문구,한식,71.1,48.3,36.4
2,중랑구,한식,70.3,44.6,33.3
2,성북구,한식,77.1,50,39.7
2,강북구,한식,70.3,45.3,36.5
2,도봉구,한식,63.4,41.5,33.3
2,노원구,한식,72.2,52.5,42
2,은평구,한식,70.1,44.9,32.6
2,서대문구,한식,78.3,53.9,43.4
2,마포구,한식,67.6,45.5,33.3
2,양천구,한식,69.2,47.4,36.7
2,강서구,한식,72,45.5,33.6
2,구로구,한식,76.9,49.3,35.4
2,금천구,한식,66.4,45.6,35.3
2,영등포구,한식,75.6,48.5,38.9
2,동작구,한식,78.3,53.4,39.5
2,관악구,한식,66.7,44.3,32.4
2,서초구,한식,71,47.8,37.1
2,강남구,한식,71.8,46.9,35.2
2,송파구,한식,71.9,46.4,35.2
2,강동구,한식,73.9,46.9,37.6
3,종로구,한식,75.1,49,41.1
3,중구,한식,72.8,51.5,38.5
3,용산구,한식,78,55.2,42.1
3,성동구,한식,78.7,53.3,38.3
3,광진구,한식,71.2,50.9,36.3
3,동대문구,한식,71.1,48.3,36.4
3,중랑구,한식,70.3,44.6,33.3
3,성북구,한식,77.1,50,39.7
3,강북구,한식,70.3,45.3,36.5
3,도봉구,한식,63.4,41.5,33.3
3,노원구,한식,72.2,52.5,42
3,은평구,한식,70.1,44.9,32.6
3,서대문구,한식,78.3,53.9,43.4
3,마포구,한식,67.6,45.5,33.3
3,양천구,한식,69.2,47.4,36.7
3,강서구,한식,72,45.5,33.6
3,구로구,한식,76.9,49.3,35.4
3,금천구,한식,66.4,45.6,35.3
3,영등포구,한식,75.6,48.5,38.9
3,동작구,한식,78.3,53.4,39.5
3,관악구,한식,66.7,44.3,32.4
3,서초구,한식,71,47.8,37.1
3,강남구,한식,71.8,46.9,35.2
3,송파구,한식,71.9,46.4,35.2
3,강동구,한식,73.9,46.9,37.6
4,종로구,한식,75.1,49,41.1
4,중구,한식,72.8,51.5,38.5
4,용산구,한식,78,55.2,42.1
4,성동구,한식,78.7,53.3,38.3
4,광진구,한식,71.2,50.9,36.3
4,동대문구,한식,71.1,48.3,36.4
4,중랑구,한식,70.3,44.6,33.3
4,성북구,한식,77.1,50,39.7
4,강북구,한식,70.3,45.3,36.5
4,도봉구,한식,63.4,41.5,33.3
4,노원구,한식,72.2,52.5,42
4,은평구,한식,70.1,44.9,32.6
4,서대문구,한식,78.3,53.9,43.4
4,마포구,한식,67.6,45.5,33.3
4,양천구,한식,69.2,47.4,36.7
4,강서구,한식,72,45.5,33.6
4,구로구,한식,76.9,49.3,35.4
4,금천구,한식,66.4,45.6,35.3
4,영등포구,한식,75.6,48.5,38.9
4,동작구,한식,78.3,53.4,39.5
4,관악구,한식,66.7,44.3,32.4
4,서초구,한식,71,47.8,37.1
4,강남구,한식,71.8,46.9,35.2
4,송파구,한식,71.9,46.4,35.2
4,강동구,한식,73.9,46.9,37.6
1,종로구,중식,73.9,47.8,41.3
1,중구,중식,83.3,47.6,33.3
1,용산구,중식,70.8,54.2,37.5
1,성동구,중식,73.7,52.6,42.1
1,광진구,중식,69.6,52.2,45.7
1,동대문구,중식,79.4,52.9,35.3
1,중랑구,중식,64.3,28.6,28.6
1,성북구,중식,94.7,57.9,47.4
1,강북구,중식,73.1,38.5,34.6
1,도봉구,중식,73.7,57.9,36.8
1,노원구,중식,77.8,55.6,50
1,은평구,중식,70,53.3,36.7
1,서대문구,중식,72,44,36
1,마포구,중식,72.7,60.6,43.9
1,양천구,중식,69.2,53.8,23.1
1,강서구,중식,83.3,53.7,40.7
1,구로구,중식,58.3,31.3,27.1
1,금천구,중식,55.7,44.3,36.1
1,영등포구,중식,71.5,40,30.9
1,동작구,중식,90.9,72.7,54.5
1,관악구,중식,66,38,26
1,서초구,중식,76.2,52.4,38.1
1,강남구,중식,72.1,50,44.1
1,송파구,중식,79.2,56.6,35.8
1,강동구,중식,67.7,41.9,32.3
2,종로구,중식,73.9,47.8,41.3
2,중구,중식,83.3,47.6,33.3
2,용산구,중식,70.8,54.2,37.5
2,성동구,중식,73.7,52.6,42.1
2,광진구,중식,69.6,52.2,45.7
2,동대문구,중식,79.4,52.9,35.3
2,중랑구,중식,64.3,28.6,28.6
2,성북구,중식,94.7,57.9,47.4
2,강북구,중식,73.1,38.5,34.6
2,도봉구,중식,73.7,57.9,36.8
2,노원구,중식,77.8,55.6,50
2,은평구,중식,70,53.3,36.7
2,서대문구,중식,72,44,36
2,마포구,중식,72.7,60.6,43.9
2,양천구,중식,69.2,53.8,23.1
2,강서구,중식,83.3,53.7,40.7
2,구로구,중식,58.3,31.3,27.1
2,금천구,중식,55.7,44.3,36.1
2,영등포구,중식,71.5,40,30.9
2,동작구,중식,90.9,72.7,54.5
2,관악구,중식,66,38,26
2,서초구,중식,76.2,52.4,38.1
2,강남구,중식,72.1,50,44.1
2,송파구,중식,79.2,56.6,35.8
2,강동구,중식,67.7,41.9,32.3
3,종로구,중식,73.9,47.8,41.3
3,중구,중식,83.3,47.6,33.3
3,용산구,중식,70.8,54.2,37.5
3,성동구,중식,73.7,52.6,42.1
3,광진구,중식,69.6,52.2,45.7
3,동대문구,중식,79.4,52.9,35.3
3,중랑구,중식,64.3,28.6,28.6
3,성북구,중식,94.7,57.9,47.4
3,강북구,중식,73.1,38.5,34.6
3,도봉구,중식,73.7,57.9,36.8
3,노원구,중식,77.8,55.6,50
3,은평구,중식,70,53.3,36.7
3,서대문구,중식,72,44,36
3,마포구,중식,72.7,60.6,43.9
3,양천구,중식,69.2,53.8,23.1
3,강서구,중식,83.3,53.7,40.7
3,구로구,중식,58.3,31.3,27.1
3,금천구,중식,55.7,44.3,36.1
3,영등포구,중식,71.5,40,30.9
3,동작구,중식,90.9,72.7,54.5
3,관악구,중식,66,38,26
3,서초구,중식,76.2,52.4,38.1
3,강남구,중식,72.1,50,44.1
3,송파구,중식,79.2,56.6,35.8
3,강동구,중식,67.7,41.9,32.3
4,종로구,중식,73.9,47.8,41.3
4,중구,중식,83.3,47.6,33.3
4,용산구,중식,70.8,54.2,37.5
4,성동구,중식,73.7,52.6,42.1
4,광진구,중식,69.6,52.2,45.7
4,동대문구,중식,79.4,52.9,35.3
4,중랑구,중식,64.3,28.6,28.6
4,성북구,중식,94.7,57.9,47.4
4,강북구,중식,73.1,38.5,34.6
4,도봉구,중식,73.7,57.9,36.8
4,노원구,중식,77.8,55.6,50
4,은평구,중식,70,53.3,36.7
4,서대문구,중식,72,44,36
4,마포구,중식,72.7,60.6,43.9
4,양천구,중식,69.2,53.8,23.1
4,강서구,중식,83.3,53.7,40.7
4,구로구,중식,58.3,31.3,27.1
4,금천구,중식,55.7,44.3,36.1
4,영등포구,중식,71.5,40,30.9
4,동작구,중식,90.9,72.7,54.5
4,관악구,중식,66,38,26
4,서초구,중식,76.2,52.4,38.1
4,강남구,중식,72.1,50,44.1
4,송파구,중식,79.2,56.6,35.8
4,강동구,중식,67.7,41.9,32.3
1,종로구,일식,77.4,54.8,43.5
1,중구,일식,71.2,33.9,25.4
1,용산구,일식,60.4,39.6,27.1
1,성동구,일식,80.4,56.5,45.7
1,광진구,일식,81,54.8,47.6
1,동대문구,일식,66.7,42.9,33.3
1,중랑구,일식,75,50,40
1,성북구,일식,71.4,46.9,40.8
1,강북구,일식,86.1,47.2,33.3
1,도봉구,일식,80,40,30
1,노원구,일식,51.1,33.3,22.2
1,은평구,일식,71.4,42.9,28.6
1,서대문구,일식,64.9,40.5,32.4
1,마포구,일식,73.4,46.2,34.3
1,양천구,일식,66.7,47.6,40.5
1,강서구,일식,77.8,50.6,46.9
1,구로구,일식,75,58.3,50
1,금천구,일식,85.7,42.9,28.6
1,영등포구,일식,80,55,45
1,동작구,일식,81.6,44.9,38.8
1,관악구,일식,68.5,53.7,38.9
1,서초구,일식,78.4,63.5,51.4
1,강남구,일식,80.3,53.4,42.7
1,송파구,일식,71.3,51.9,38.9
1,강동구,일식,62.5,43.8,33.3
2,종로구,일식,77.4,54.8,43.5
2,중구,일식,71.2,33.9,25.4
2,용산구,일식,60.4,39.6,27.1
2,성동구,일식,80.4,56.5,45.7
2,광진구,일식,81,54.8,47.6
2,동대문구,일식,66.7,42.9,33.3
2,중랑구,일식,75,50,40
2,성북구,일식,71.4,46.9,40.8
2,강북구,일식,86.1,47.2,33.3
2,도봉구,일식,80,40,30
2,노원구,일식,51.1,33.3,22.2
2,은평구,일식,71.4,42.9,28.6
2,서대문구,일식,64.9,40.5,32.4
2,마포구,일식,73.4,46.2,34.3
2,양천구,일식,66.7,47.6,40.5
2,강서구,일식,77.8,50.6,46.9
2,구로구,일식,75,58.3,50
2,금천구,일식,85.7,42.9,28.6
2,영등포구,일식,80,55,45
2,동작구,일식,81.6,44.9,38.8
2,관악구,일식,68.5,53.7,38.9
2,서초구,일식,78.4,63.5,51.4
2,강남구,일식,80.3,53.4,42.7
2,송파구,일식,71.3,51.9,38.9
2,강동구,일식,62.5,43.8,33.3
3,종로구,일식,77.4,54.8,43.5
3,중구,일식,71.2,33.9,25.4
3,용산구,일식,60.4,39.6,27.1
3,성동구,일식,80.4,56.5,45.7
3,광진구,일식,81,54.8,47.6
3,동대문구,일식,66.7,42.9,33.3
3,중랑구,일식,75,50,40
3,성북구,일식,71.4,46.9,40.8
3,강북구,일식,86.1,47.2,33.3
3,도봉구,일식,80,40,30
3,노원구,일식,51.1,33.3,22.2
3,은평구,일식,71.4,42.9,28.6
3,서대문구,일식,64.9,40.5,32.4
3,마포구,일식,73.4,46.2,34.3
3,양천구,일식,66.7,47.6,40.5
3,강서구,일식,77.8,50.6,46.9
3,구로구,일식,75,58.3,50
3,금천구,일식,85.7,42.9,28.6
3,영등포구,일식,80,55,45
3,동작구,일식,81.6,44.9,38.8
3,관악구,일식,68.5,53.7,38.9
3,서초구,일식,78.4,63.5,51.4
3,강남구,일식,80.3,53.4,42.7
3,송파구,일식,71.3,51.9,38.9
3,강동구,일식,62.5,43.8,33.3
4,종로구,일식,77.4,54.8,43.5
4,중구,일식,71.2,33.9,25.4
4,용산구,일식,60.4,39.6,27.1
4,성동구,일식,80.4,56.5,45.7
4,광진구,일식,81,54.8,47.6
4,동대문구,일식,66.7,42.9,33.3
4,중랑구,일식,75,50,40
4,성북구,일식,71.4,46.9,40.8
4,강북구,일식,86.1,47.2,33.3
4,도봉구,일식,80,40,30
4,노원구,일식,51.1,33.3,22.2
4,은평구,일식,71.4,42.9,28.6
4,서대문구,일식,64.9,40.5,32.4
4,마포구,일식,73.4,46.2,34.3
4,양천구,일식,66.7,47.6,40.5
4,강서구,일식,77.8,50.6,46.9
4,구로구,일식,75,58.3,50
4,금천구,일식,85.7,42.9,28.6
