행정구역,생활밀접업종,2021년 1분기,2021년 1분기,2021년 1분기,2022년 1분기,2022년 1분기,2022년 1분기,2023년 1분기,2023년 1분기,2023년 1분기
행정구역,생활밀접업종,전체 점포수,프랜차이즈 점포수,일반 점포수,전체 점포수,프랜차이즈 점포수,일반 점포수,전체 점포수,프랜차이즈 점포수,일반 점포수
행정구역,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2,Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,Unnamed: 10_level_2
하위 메뉴 펼침서울시 전체,외식업/ 한식음식점,61956,6040,55916,62833,5849,56984,60761,5430,55331
하위 메뉴 펼침종로구,외식업/ 한식음식점,2891,228,2663,2917,217,2700,2852,204,2648
하위 메뉴 펼침중구,외식업/ 한식음식점,2813,299,2514,2770,283,2487,2744,271,2473
하위 메뉴 펼침용산구,외식업/ 한식음식점,1802,114,1688,1837,120,1717,1833,116,1717
하위 메뉴 펼침성동구,외식업/ 한식음식점,1929,179,1750,1913,163,1750,1862,145,1717
하위 메뉴 펼침광진구,외식업/ 한식음식점,2205,218,1987,2273,215,2058,2180,207,1973
하위 메뉴 펼침동대문구,외식업/ 한식음식점,2412,190,2222,2437,190,2247,2383,177,2206
하위 메뉴 펼침중랑구,외식업/ 한식음식점,2180,161,2019,2246,159,2087,2156,150,2006
하위 메뉴 펼침성북구,외식업/ 한식음식점,2006,170,1836,2061,173,1888,2023,161,1862
하위 메뉴 펼침강북구,외식업/ 한식음식점,1979,146,1833,2006,151,1855,1937,139,1798
하위 메뉴 펼침도봉구,외식업/ 한식음식점,1485,101,1384,1490,107,1383,1428,103,1325
하위 메뉴 펼침노원구,외식업/ 한식음식점,2066,235,1831,2055,218,1837,1962,208,1754
하위 메뉴 펼침은평구,외식업/ 한식음식점,2117,182,1935,2189,184,2005,2114,174,1940
하위 메뉴 펼침서대문구,외식업/ 한식음식점,1833,176,1657,1854,170,1684,1756,151,1605
하위 메뉴 펼침마포구,외식업/ 한식음식점,3438,322,3116,3476,308,3168,3375,279,3096
하위 메뉴 펼침양천구,외식업/ 한식음식점,1744,180,1564,1781,175,1606,1712,161,1551
하위 메뉴 펼침강서구,외식업/ 한식음식점,3052,356,2696,3141,339,2802,3079,328,2751
하위 메뉴 펼침구로구,외식업/ 한식음식점,2246,273,1973,2293,260,2033,2193,238,1955
하위 메뉴 펼침금천구,외식업/ 한식음식점,1757,210,1547,1831,207,1624,1764,193,1571
하위 메뉴 펼침영등포구,외식업/ 한식음식점,3338,337,3001,3400,330,3070,3307,300,3007
하위 메뉴 펼침동작구,외식업/ 한식음식점,1891,192,1699,1879,182,1697,1785,168,1617
하위 메뉴 펼침관악구,외식업/ 한식음식점,2635,248,2387,2656,234,2422,2523,208,2315
하위 메뉴 펼침서초구,외식업/ 한식음식점,3016,317,2699,3003,310,2693,2856,278,2578
하위 메뉴 펼침강남구,외식업/ 한식음식점,5207,565,4642,5290,538,4752,5138,498,4640
하위 메뉴 펼침송파구,외식업/ 한식음식점,3610,418,3192,3684,403,3281,3560,380,3180
하위 메뉴 펼침강동구,외식업/ 한식음식점,2304,223,2081,2351,213,2138,2239,193,2046
하위 메뉴 펼침서울시 전체,외식업/ 중식음식점,5462,365,5097,5681,363,5318,5833,341,5492
하위 메뉴 펼침종로구,외식업/ 중식음식점,216,13,203,207,8,199,211,8,203
하위 메뉴 펼침중구,외식업/ 중식음식점,256,14,242,267,14,253,264,14,250
하위 메뉴 펼침용산구,외식업/ 중식음식점,171,15,156,173,15,158,164,11,153
하위 메뉴 펼침성동구,외식업/ 중식음식점,148,15,133,155,13,142,155,11,144
하위 메뉴 펼침광진구,외식업/ 중식음식점,230,13,217,234,15,219,253,13,240
하위 메뉴 펼침동대문구,외식업/ 중식음식점,210,9,201,211,8,203,221,7,214
하위 메뉴 펼침중랑구,외식업/ 중식음식점,97,7,90,109,8,101,116,9,107
하위 메뉴 펼침성북구,외식업/ 중식음식점,165,12,153,168,13,155,173,12,161
하위 메뉴 펼침강북구,외식업/ 중식음식점,118,4,114,117,4,113,127,3,124
하위 메뉴 펼침도봉구,외식업/ 중식음식점,84,2,82,99,3,96,93,3,90
하위 메뉴 펼침노원구,외식업/ 중식음식점,150,13,137,160,14,146,163,15,148
하위 메뉴 펼침은평구,외식업/ 중식음식점,158,9,149,162,10,152,156,10,146
